name,gender,age,income,race,education,physical_attractiveness,bio_chemistry,core_values,life_stage,mutual_selection,life_orientation,financial_security,healthy_living,emotional_outlook,continuous_learning,behavior_pattern,interpersonal_skills,commitment_level,psychological_cost
Andreas,male,15,60,75,12,77,79,65,31,27,84,47,93,16,99,78,68,28,4
Maxwell,male,86,56,98,81,70,33,73,22,14,95,11,93,41,68,31,75,12,62
Aaron,male,48,12,79,81,24,99,72,57,77,52,39,26,11,80,26,95,82,83
Silas,male,10,88,80,98,26,25,21,48,12,69,64,61,59,18,14,72,68,29
Junior,male,65,17,48,20,4,5,89,25,90,93,85,8,42,79,75,48,23,95
Cayden,male,50,68,14,12,6,94,25,73,61,18,98,92,88,91,39,54,54,34
Joel,male,72,97,40,17,40,25,6,85,92,94,22,61,63,56,48,38,10,61
Sean,male,65,49,89,12,36,88,86,26,72,26,41,72,60,2,33,22,5,89
Trent,male,34,46,6,21,100,42,27,31,3,83,43,63,69,39,90,51,43,27
Ari,male,35,10,74,31,18,72,49,66,73,78,48,23,77,41,35,100,86,41
Royce,male,43,7,74,3,62,7,26,59,3,79,11,74,11,77,38,8,59,65
Jace,male,65,36,40,76,88,92,50,56,1,78,29,70,64,39,14,82,70,15
Danny,male,30,9,52,81,61,94,3,51,27,26,24,67,92,77,15,9,66,41
Javon,male,99,85,84,6,50,28,100,48,72,84,85,96,9,55,48,50,96,25
Nolan,male,45,96,56,83,50,13,60,39,1,1,40,22,7,86,47,32,79,70
Konnor,male,80,96,80,100,62,53,45,88,23,69,78,4,97,11,4,73,96,4
Ty,male,93,76,78,94,33,58,28,31,32,35,82,62,96,78,98,57,34,49
Vaughn,male,9,79,83,59,58,13,48,51,62,26,1,5,98,48,77,70,66,93
Harper,male,33,10,88,56,83,56,88,22,33,58,25,60,48,47,46,75,95,22
Ronald,male,14,2,51,40,90,46,28,9,25,39,85,94,23,28,1,8,44,7
Reece,male,92,23,41,87,62,9,53,45,27,83,58,37,87,60,76,91,2,38
Bruce,male,86,9,25,36,2,2,70,54,31,1,92,78,49,7,53,87,60,14
Vincent,male,86,76,95,37,76,64,57,71,4,67,49,92,56,4,94,14,80,79
Brett,male,87,58,41,85,25,66,42,4,29,42,100,64,55,73,21,81,43,55
Jarrett,male,63,15,35,51,34,67,73,58,59,34,1,14,25,29,75,92,61,45
Johnathan,male,20,59,12,19,11,21,94,58,19,70,79,71,100,60,55,82,10,65
Gilbert,male,8,11,89,8,75,50,98,89,29,90,39,3,10,37,83,50,66,86
Griffin,male,83,66,30,62,11,56,16,77,69,50,56,13,45,6,54,33,93,64
Giancarlo,male,73,93,83,57,16,66,54,68,66,97,30,2,95,23,4,98,65,6
Louis,male,96,69,29,55,13,98,26,78,48,6,18,68,72,61,17,62,21,88
Nasir,male,57,69,84,67,27,47,24,86,55,98,95,55,14,54,80,48,59,67
August,male,5,3,55,64,50,88,77,58,13,84,18,30,5,14,93,85,45,72
Gianni,male,14,11,32,20,41,69,50,82,61,96,92,15,90,11,58,15,67,52
Tyrell,male,43,86,33,67,63,59,31,50,6,82,76,31,44,63,83,4,34,77
Kaiden,male,15,64,96,8,19,65,42,54,44,91,48,100,40,37,61,79,66,37
Steve,male,57,59,85,97,22,91,54,51,15,48,30,32,20,16,71,94,65,4
Randall,male,78,38,63,75,66,94,61,51,57,47,9,23,69,17,98,79,100,45
Dexter,male,85,57,8,6,50,6,15,38,12,63,97,72,86,100,49,51,51,22
Thomas,male,27,56,45,37,37,46,100,55,66,68,36,91,84,6,64,93,85,21
Rafael,male,75,26,52,93,34,93,74,40,79,51,64,82,56,47,21,53,15,93
Damon,male,78,83,74,61,10,13,45,80,57,27,38,62,51,49,52,90,53,99
Alvaro,male,81,15,59,72,13,75,97,36,65,80,62,2,19,86,83,2,84,15
Ayden,male,16,10,86,25,52,17,94,69,44,74,96,24,94,68,99,55,94,100
Jovanny,male,40,28,69,50,75,45,12,23,41,3,90,7,72,42,19,36,60,46
Dale,male,44,50,26,35,73,55,12,96,59,100,59,70,21,20,2,54,86,51
Tyrone,male,29,71,82,14,47,78,23,18,63,29,79,2,96,56,88,27,35,30
Eric,male,85,99,18,59,87,74,75,65,7,12,85,53,12,29,11,63,3,45
Alessandro,male,62,24,36,56,19,86,18,54,19,93,57,63,11,52,71,35,72,61
Ricky,male,17,84,59,56,80,36,27,96,5,27,62,55,8,86,80,46,95,48
Howard,male,47,93,68,76,93,35,47,93,82,31,94,69,2,77,90,73,82,24
Julissa,female,25,96,27,37,83,95,14,10,35,42,65,38,45,70,94,68,7,63
Tess,female,100,20,77,77,81,16,87,14,29,40,33,98,93,57,27,99,45,25
Amiyah,female,83,21,42,46,84,11,82,88,30,91,67,23,58,67,99,43,54,48
Karly,female,20,88,75,66,4,42,66,44,19,75,53,46,54,11,89,45,48,89
Aubrie,female,44,38,10,96,95,54,97,20,82,4,29,59,76,30,51,66,94,87
Alicia,female,52,59,3,14,62,48,95,33,48,41,20,62,86,40,5,56,5,86
Kathryn,female,16,73,53,56,51,3,98,73,13,40,76,36,42,14,71,28,52,11
Yasmine,female,43,71,56,40,20,71,7,93,58,5,72,57,19,95,64,24,58,88
Jazmine,female,69,51,92,34,38,58,49,49,26,74,94,71,11,54,93,65,67,98
Joy,female,7,13,92,79,58,69,23,13,67,68,73,42,73,66,7,63,39,82
Zara,female,22,3,94,82,70,54,19,92,43,13,8,73,10,3,19,36,91,89
Justine,female,4,87,36,21,65,73,27,27,12,60,18,25,12,51,31,26,95,40
Roselyn,female,11,35,61,2,52,6,4,91,38,39,80,9,43,90,82,64,37,85
Yesenia,female,76,25,63,44,12,84,1,57,93,27,3,84,23,39,63,46,90,19
Paulina,female,52,73,63,18,30,90,18,33,74,89,77,96,53,4,92,6,7,71
Zion,female,52,65,67,87,23,35,17,43,96,100,18,62,16,55,63,94,58,85
Sofia,female,15,69,36,46,18,59,53,24,29,25,82,9,97,69,58,19,12,82
Ivy,female,30,2,68,50,23,69,62,95,46,16,21,51,91,27,35,43,1,96
Clarissa,female,98,53,96,53,45,17,12,73,45,56,30,82,78,31,6,42,48,51
Whitney,female,100,30,96,17,40,29,19,73,86,47,48,29,35,67,5,59,98,80
Stephany,female,22,20,59,10,3,76,44,11,21,94,100,49,10,26,94,8,94,21
Diamond,female,88,87,22,41,89,75,28,89,98,29,87,89,47,41,77,94,23,3
Genesis,female,95,27,45,32,93,70,63,36,87,60,8,17,17,64,43,76,52,64
Jaidyn,female,26,45,62,8,14,19,75,79,20,75,71,41,90,86,80,72,90,17
Kamari,female,15,22,9,28,81,42,7,63,89,37,32,22,65,5,55,34,15,87
Maia,female,92,30,91,64,88,29,87,75,66,14,78,52,99,15,62,66,47,78
Camille,female,43,68,74,53,33,63,55,63,19,9,76,29,5,72,85,21,71,79
Trinity,female,83,39,34,97,5,81,73,8,95,18,62,50,98,50,62,93,24,15
Yuliana,female,58,59,66,68,18,32,4,54,55,98,22,42,11,16,77,33,99,56
Lucy,female,16,80,70,92,34,53,64,69,73,85,58,13,99,40,7,6,62,65
Madalynn,female,51,35,93,37,65,3,63,78,49,98,77,61,1,74,52,96,70,96
Mariana,female,4,87,48,75,69,60,27,52,26,32,65,78,26,4,94,63,22,46
Marlee,female,76,10,3,17,21,69,18,57,12,88,45,9,20,2,46,77,95,75
Lesly,female,60,46,84,14,60,31,49,64,44,86,6,93,72,1,83,46,90,37
